Country Name,Country Code,Indicator Name,Indicator Code,year,tertiary_enrollment_gross_pct
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,8.39764022827148
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,9.99592018127441
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,10.85435962677
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1970,0.617680013179779
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1971,0.619029998779297
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1972,0.66184002161026
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1973,0.72408002614975
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1974,0.78600001335144
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1975,0.831439971923828
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1976,0.927500009536743
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1977,1.09012997150421
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1978,1.23221004009247
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1979,1.50065994262695
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1980,1.65649998188019
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1981,1.9273099899292
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1982,2.05622005462646
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1983,2.14419007301331
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1984,2.20619988441467
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1985,2.3889799118042
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1986,2.51521992683411
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1987,2.47387003898621
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1988,2.65233993530273
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1989,2.77177000045776
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,2.87589001655579
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1991,2.97762989997864
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1992,3.11690998077393
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1993,3.29299998283386
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1994,3.45100998878479
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1995,3.59401988983154
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1996,3.78765988349915
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1997,4.01411008834839
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1998,4.16986989974976
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1999,4.33806991577148
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2000,4.95100021362305
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2001,5.43233013153076
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,5.93669986724854
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,6.43214988708496
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,6.620689868927
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,7.03709983825684
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,7.09086990356445
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2007,7.31161022186279
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,7.55156993865967
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,7.67314004898071
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,7.94076013565063
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,8.23383045196533
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,8.61141014099121
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,9.13339042663574
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,9.39218044281006
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,9.45302963256836
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,9.26937007904053
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2017,9.39776039123535
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,9.58899021148682
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,9.73875999450684
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,9.93537998199463
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,10.1902599334717
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1988,0.581809997558594
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1989,0.5659099817276
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,0.594919979572296
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1991,0.60505998134613
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1992,0.573329985141754
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1998,0.613650023937225
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1999,0.554629981517792
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,0.783640027046204
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,2.87620997428894
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,2.14597010612488
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,2.6385600566864
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,2.55977010726929
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,6.44004138280629
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,9.22339720175662
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,8.78320868033121
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,9.78287696232453
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2023,10.04935810264
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2024,9.9549065722902
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,16.3895606994629
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,16.3662395477295
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,19.1295795440674
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,22.389009475708
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,26.2101001739502
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2007,30.2319297790527
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,31.6839599609375
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,32.9239883422852
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,43.3279304504395
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,49.3997040639925
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,58.6214186004979
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,63.8440585382953
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,65.5507096860696
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,61.9608485481051
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,58.4884791901189
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2017,58.0177836674929
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,56.0802964109938
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,61.4085141527142
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,61.5853024328899
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,59.9698690125562
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2022,62.647921513098
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2023,64.7293520237257
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2024,81.9986267089844
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,7.30906009674072
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,8.82606983184814
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,8.74042987823486
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,8.45697021484375
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,9.93558025360107
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,11.0230503082275
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,12.870249017038
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,14.5405405405405
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,13.5399673735726
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,13.8206896551724
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,15.2011095700416
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2017,15.6664896441848
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,15.7132150886835
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,15.4352596927579
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,15.2605749006777
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,15.4117647058823
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2022,34.6414389161411
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2023,62.4106937082277
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2024,67.6767676767677
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1970,12.7094001770019
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1971,5.39283990859985
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1972,5.61168003082275
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1973,5.91309022903442
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1974,6.26859998703003
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1975,6.74680995941162
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1976,7.33316993713379
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1977,7.75063991546631
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1978,7.55993986129761
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1979,7.6641697883606
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1980,7.99777984619141
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1981,8.51006031036377
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1982,8.87298011779785
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1983,9.06667995452881
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1984,9.33497047424316
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1985,9.36201953887939
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1986,9.68360996246338
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1987,9.79909992218018
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1988,13.7320003509522
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1989,9.67932987213135
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,9.73840045928955
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1991,9.47113037109375
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1992,10.0868196487427
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1993,10.910590171814
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1994,11.8772401809692
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1995,12.6549396514893
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1996,13.5704402923584
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1997,14.5025501251221
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1998,15.4457502365112
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1999,16.7325000762939
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2000,16.8672409057617
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2001,17.4352397918701
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,18.2287998199463
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,18.2871894836426
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,19.4084701538086
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,20.39501953125
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,20.922119140625
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2007,21.5595207214356
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,22.4240398406982
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,23.2823505401611
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,24.0447006225586
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,23.5923805236816
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,24.9674091339111
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,26.6111106872559
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,27.9501495361328
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,29.4163494110107
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,29.9698600769043
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2017,30.7080307006836
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,31.8304405212402
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,32.1644706726074
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,32.7869911193848
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,32.6684608459473
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2022,32.7095909118652
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2023,33.2456398010254
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2024,35.0803985595703
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,53.2113281680102
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,53.8814655213653
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,54.9746998074699
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,56.4520334436146
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2022,60.4188226013954
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2023,61.3456114422447
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2024,63.7384451086316
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1970,13.2804498672485
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1971,15.310640335083
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1972,16.4729194641113
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1973,19.5783805847168
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1974,22.702169418335
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1975,26.914270401001
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1976,26.9438800811768
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1977,23.9531192779541
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1978,21.2025909423828
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1979,22.0105895996094
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1980,21.5650291442871
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1981,22.9634208679199
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1982,23.6957092285156
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1983,24.7786998748779
