Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,5.51,..,..,..,..,5.79,..,..,..,..,6.18,..,..,..,..,6.81,..,..,..,..,7.25,..,..,..,..,7.86,..,..,..,..,8.41,..,..,..,..,8.73,..,..,..,..,8.84,..,..,..,..,9.41,..,..,..,..,9.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.67,..,..,..,..,5.93,..,..,..,..,6.31,..,..,..,..,6.85,..,..,..,..,7.3,..,..,..,..,7.85,..,..,..,..,8.37,..,..,..,..,8.64,..,..,..,..,8.73,..,..,..,..,9.38,..,..,..,..,9.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,6.69,..,..,..,..,6.98,..,..,..,..,7.28,..,..,..,..,8.13,..,..,..,..,8.4,..,..,..,..,9.26,..,..,..,..,9.59,..,..,..,..,9.21,..,..,..,..,9.01,..,..,..,..,9.52,..,..,..,..,9.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,6.62,..,..,..,..,6.84,..,..,..,..,7.15,..,..,..,..,7.92,..,..,..,..,8.08,..,..,..,..,8.88,..,..,..,..,9.25,..,..,..,..,8.98,..,..,..,..,8.8,..,..,..,..,9.28,..,..,..,..,8.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,7.68,..,..,..,..,7.95,..,..,..,..,8.22,..,..,..,..,8.64,..,..,..,..,9.27,..,..,..,..,9.82,..,..,..,..,10.26,..,..,..,..,10.33,..,..,..,..,10.4,..,..,..,..,10.5,..,..,..,..,10.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,7.97,..,..,..,..,8.18,..,..,..,..,8.46,..,..,..,..,8.85,..,..,..,..,9.44,..,..,..,..,9.99,..,..,..,..,10.4,..,..,..,..,10.43,..,..,..,..,10.44,..,..,..,..,10.5,..,..,..,..,10.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,7.5,..,..,..,..,7.67,..,..,..,..,7.45,..,..,..,..,7.72,..,..,..,..,9.41,..,..,..,..,10.29,..,..,..,..,10.56,..,..,..,..,8.76,..,..,..,..,8.87,..,..,..,..,9.07,..,..,..,..,9.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,6.98,..,..,..,..,7.2,..,..,..,..,7.45,..,..,..,..,7.73,..,..,..,..,9.35,..,..,..,..,10.27,..,..,..,..,10.47,..,..,..,..,8.76,..,..,..,..,8.75,..,..,..,..,8.99,..,..,..,..,9.47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,8.73,..,..,..,..,9.01,..,..,..,..,9.19,..,..,..,..,10.18,..,..,..,..,11.05,..,..,..,..,11.05,..,..,..,..,11.06,..,..,..,..,11.1,..,..,..,..,11.02,..,..,..,..,11.37,..,..,..,..,11.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,9.29,..,..,..,..,9.61,..,..,..,..,9.7,..,..,..,..,10.52,..,..,..,..,11.2,..,..,..,..,11.2,..,..,..,..,11.18,..,..,..,..,11.2,..,..,..,..,11.07,..,..,..,..,11.38,..,..,..,..,11.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,9.3,..,..,..,..,9.86,..,..,..,..,11.18,..,..,..,..,11.33,..,..,..,..,12.02,..,..,..,..,11.24,..,..,..,..,9.82,..,..,..,..,10.03,..,..,..,..,9.59,..,..,..,..,10.47,..,..,..,..,10.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,9.61,..,..,..,..,9.95,..,..,..,..,11.22,..,..,..,..,11.51,..,..,..,..,11.99,..,..,..,..,11.23,..,..,..,..,9.81,..,..,..,..,9.9,..,..,..,..,9.49,..,..,..,..,10.32,..,..,..,..,10.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,3.8,..,..,..,..,4.62,..,..,..,..,6.59,..,..,..,..,6.87,..,..,..,..,7.1,..,..,..,..,7.38,..,..,..,..,7.64,..,..,..,..,8.08,..,..,..,..,8.18,..,..,..,..,8.5,..,..,..,..,8.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,4.13,..,..,..,..,5.31,..,..,..,..,7.4,..,..,..,..,7.7,..,..,..,..,7.89,..,..,..,..,8.11,..,..,..,..,8.36,..,..,..,..,8.81,..,..,..,..,8.97,..,..,..,..,9.29,..,..,..,..,9.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,3.77,..,..,..,..,3.95,..,..,..,..,4.55,..,..,..,..,4.8,..,..,..,..,4.93,..,..,..,..,5.09,..,..,..,..,5.47,..,..,..,..,6.05,..,..,..,..,6.3,..,..,..,..,6.01,..,..,..,..,5.99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,3.7,..,..,..,..,3.89,..,..,..,..,4.51,..,..,..,..,4.8,..,..,..,..,4.85,..,..,..,..,4.88,..,..,..,..,5.21,..,..,..,..,5.87,..,..,..,..,6.31,..,..,..,..,5.99,..,..,..,..,5.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,0.77,..,..,..,..,1.42,..,..,..,..,2.28,..,..,..,..,3.41,..,..,..,..,4.45,..,..,..,..,5.35,..,..,..,..,6.39,..,..,..,..,6.98,..,..,..,..,7.46,..,..,..,..,7.26,..,..,..,..,7.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.25,..,..,..,..,1.74,..,..,..,..,3.08,..,..,..,..,4.02,..,..,..,..,4.93,..,..,..,..,5.65,..,..,..,..,6.54,..,..,..,..,7.1,..,..,..,..,7.48,..,..,..,..,7.19,..,..,..,..,7.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,1.05,..,..,..,..,1.71,..,..,..,..,4.42,..,..,..,..,5.62,..,..,..,..,6.13,..,..,..,..,6.52,..,..,..,..,8.02,..,..,..,..,8.54,..,..,..,..,8.51,..,..,..,..,8.5,..,..,..,..,8.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,1.34,..,..,..,..,2.59,..,..,..,..,5.19,..,..,..,..,5.43,..,..,..,..,6.28,..,..,..,..,6.58,..,..,..,..,7.99,..,..,..,..,8.47,..,..,..,..,8.27,..,..,..,..,8.46,..,..,..,..,8.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,0.32,..,..,..,..,0.44,..,..,..,..,0.54,..,..,..,..,0.67,..,..,..,..,1.26,..,..,..,..,1.88,..,..,..,..,2.37,..,..,..,..,3.04,..,..,..,..,4.03,..,..,..,..,4.89,..,..,..,..,5.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.02,..,..,..,..,1.25,..,..,..,..,1.38,..,..,..,..,1.57,..,..,..,..,2.25,..,..,..,..,2.82,..,..,..,..,3.13,..,..,..,..,3.68,..,..,..,..,4.48,..,..,..,..,5.24,..,..,..,..,5.91,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
